1571929315,1,15,2,"C2,C3,C5,C6;C4,C8,C9,D9;C10,C7,CJ,D8;CA,CK,CQ,SA;D2,D3,D5,SJ;D10,D4,D7,S10;DJ,DK,DQ,S9;S2,S3,S6,S8;D6,DA,S5,S7;H8,HK,SK,SQ;H5,H6,H7,HJ;H3,H9,HA,S4;H10,H2,H4,HQ"
1571929315,1,0,2,"C2,C4,C5,C8;C10,C6,C9,CJ;C3,C7,CA,CK;D10,D2,D6,D7;D3,D5,D9,DJ;S2,S3,S4,S6;CQ,DA,DK,S10;D8,DQ,S9,SA;S7,S8,SK,SQ;D4,HQ,S5,SJ;H2,H3,H4,H5;H6,H7,H8,H9;H10,HA,HJ,HK"
1571929315,1,10,2,"C2,C4,C6,C9;C10,C5,C8,DQ;C3,CJ,CQ,D9;D2,D3,D5,SA;C7,D10,DA,SK;CK,D7,DK,SJ;CA,D6,DJ,S6;S2,S3,S4,S9;HA,S10,S7,S8;H2,H3,H4,H8;D4,H10,HK,HQ;D8,H6,H7,HJ;H5,H9,S5,SQ"
1571929315,1,0,2,"C10,C2,C3,C6;D2,D4,D6,DK;C8,CA,CQ,DQ;C5,CJ,CK,D3;S2,S4,SK,SQ;C4,C7,S10,SJ;D5,D8,S6,S9;D10,D9,S5,S8;DA,DJ,HJ,S7;H10,HK,S3,SA;C9,H5,H9,HA;D7,H3,H7,HQ;H2,H4,H6,H8"
1571929315,1,0,2,"C2,C8,C9,CJ;C10,C6,C7,CQ;D2,D6,D7,D8;C3,C4,C5,DJ;CA,CK,D9,DK;D3,D4,D5,S10;D10,DA,S8,SK;S2,S6,S7,SJ;DQ,S5,S9,SQ;H9,HA,S4,SA;H2,H3,H4,H6;H8,HJ,HQ,S3;H10,H5,H7,HK"
1571929315,1,26,2,"C2,C4,C5,C6;C10,C3,C9,CK;CA,CJ,CQ,DK;D10,D4,D5,DQ;D3,D9,DA,DJ;S3,S4,S5,S6;D2,D6,D8,SA;S2,S7,S8,S9;H3,H4,H5,H6;C7,H7,HA,HJ;C8,D7,H8,HQ;H10,SJ,SK,SQ;H2,H9,HK,S10"
1571929315,1,0,2,"C2,C5,C9,CJ;C10,C6,CK,CQ;D3,D5,D6,D7;C3,CA,DK,DQ;C8,D10,D9,DJ;C7,D4,D8,DA;S2,S4,S5,S6;S10,S3,S8,S9;S7,SJ,SK,SQ;C4,D2,HQ,SA;H2,H3,H4,H5;H6,H7,H9,HK;H10,H8,HA,HJ"
1571929315,1,4,2,"C2,C5,C7,C9;C10,C8,CJ,CQ;D2,D3,D4,D5;D6,D7,D8,SA;C4,C6,D10,S9;C3,CK,D9,S6;CA,DA,S3,SJ;DJ,DQ,S5,SQ;DK,HQ,S10,S4;H10,S2,S7,S8;H2,H4,H5,H6;H8,HA,HJ,SK;H3,H7,H9,HK"
1571929315,1,4,2,"C2,C6,C8,C9;C10,C4,C7,CJ;D2,D5,D6,D7;D10,D4,D8,D9;C3,CK,CQ,DA;C5,CA,DJ,S9;D3,DQ,S10,S5;S4,S8,SJ,SQ;S2,S6,S7,SK;HA,HJ,S3,SA;H3,H5,H6,H7;H10,H8,H9,HK;DK,H2,H4,HQ"
1571929315,1,22,2,"C2,C3,C5,C7;C4,C6,C8,C9;C10,CA,CK,DA;CJ,CQ,D7,DK;D2,D3,D4,DQ;S10,S3,S5,S9;D5,D6,S4,SA;D8,D9,S2,SK;D10,DJ,HA,SJ;H10,HK,S7,S8;H7,H9,S6,SQ;H3,H4,H5,H6;H2,H8,HJ,HQ"
1571929315,1,4,2,"C2,C3,C4,C6;C10,CA,CQ,DK;C5,C7,CJ,DJ;C8,C9,CK,D10;D5,D6,D9,DA;S10,S2,S3,S5;D2,D3,D8,SJ;D7,DQ,S7,SA;S4,S6,S8,SK;D4,HA,HJ,S9;H2,H3,H4,H5;H8,HK,HQ,SQ;H10,H6,H7,H9"
1571929315,1,0,2,"C2,C3,C4,C5;C10,C6,C8,C9;CA,CJ,CQ,DA;D2,D5,D6,D7;C7,CK,DK,DQ;D3,D4,D8,SA;S4,S6,S8,S9;D10,D9,S7,SJ;DJ,S2,S3,SQ;H3,H4,H7,H9;H10,HA,HK,S5;H5,HJ,HQ,S10;H2,H6,H8,SK"
1571929315,1,13,2,"C2,C3,C4,C5;C10,C6,C7,C8;CA,CJ,CQ,DA;C9,D8,D9,DK;CK,D5,D6,SJ;D2,D3,D4,S10;S2,S3,S6,S7;DQ,S8,SK,SQ;DJ,S4,S9,SA;H10,H3,H5,H9;D7,H8,HA,HQ;D10,H2,H7,HK;H4,H6,HJ,S5"
