1571928928,2,2,2,"C2,C4,C5,C7;C3,C6,C8,C9;CJ,CK,CQ,DA;C10,CA,DQ,SK;D2,D3,D6,S10;D10,D7,D9,S8;D5,D8,DJ,S5;HA,S2,S3,SA;D4,DK,H7,HK;HQ,S4,S7,SQ;H10,HJ,S6,S9;H5,H6,H9,SJ;H2,H3,H4,H8"
1571928928,2,0,2,"C2,C4,C6,CK;D3,D5,D6,D7;C3,C7,C8,DA;C10,C9,CJ,DQ;C5,CA,CQ,D9;D2,D4,DJ,SA;S2,S3,S7,S8;H2,H4,H5,H7;HA,S4,S5,SJ;D10,DK,H10,H9;D8,H8,HQ,SK;H6,S10,S9,SQ;H3,HJ,HK,S6"
1571928928,2,15,2,"C2,C3,CJ,CQ;D2,D4,D5,D6;C4,C5,C6,DA;D10,D3,D8,D9;C8,CA,DK,DQ;C7,C9,D7,S7;C10,CK,S10,S2;S3,S4,SK,SQ;DJ,HQ,S9,SJ;HJ,S5,S8,SA;H3,H4,H6,H7;H10,H8,HK,S6;H2,H5,H9,HA"
1571928928,2,6,2,"C2,C9,CA,DA;C10,C6,C8,DK;C5,C7,CJ,D9;CK,D2,D3,D4;C4,CQ,D5,D7;C3,D10,D8,SA;D6,DJ,SJ,SK;DQ,S10,S6,S9;HQ,S5,S8,SQ;H2,H3,H4,H5;H6,H7,H8,H9;HA,HJ,S2,S4;H10,HK,S3,S7"
1571928928,2,13,2,"C2,C6,C7,C9;CA,CK,CQ,DQ;D3,D4,D8,D9;C10,D10,D6,D7;S2,S3,S5,S6;S10,S8,SJ,SK;C3,C4,DA,SQ;C5,CJ,D5,HA;D2,H10,H9,HQ;C8,DJ,H6,H8;DK,H5,H7,SA;H3,H4,HJ,S9;H2,HK,S4,S7"
1571928928,2,14,2,"C2,C5,C6,D8;C10,C4,C9,D7;CA,CJ,D5,DA;C3,CQ,D3,DQ;C8,CK,D10,S10;D2,D4,D6,S9;C7,DK,S6,SK;D9,DJ,S4,S8;S2,S3,S5,S7;H9,SA,SJ,SQ;H10,H4,H7,H8;H3,H5,HJ,HQ;H2,H6,HA,HK"
1571928928,2,16,2,"C2,C4,C5,C6;C7,C8,C9,DA;C10,C3,CQ,DK;CA,CJ,CK,D10;D2,D5,D7,SA;D6,D8,D9,S9;DQ,S4,S5,S8;DJ,S2,S3,S6;D4,HK,S7,SQ;H10,HQ,SJ,SK;H4,H5,H8,H9;D3,H2,H6,HA;H3,H7,HJ,S10"
1571928928,2,0,2,"C2,C3,C4,C5;C10,C6,C7,C9;D4,D5,D6,D7;S2,S5,S6,S7;C8,CA,CK,SA;D2,D3,D8,S4;D9,DJ,DK,S3;CQ,DA,DQ,SQ;D10,HA,S10,S9;H7,HJ,S8,SJ;H5,H9,HQ,SK;H10,H4,H6,H8;CJ,H2,H3,HK"
1571928928,2,0,2,"C10,C2,C7,C9;D4,D5,D6,D8;C3,C4,C5,DK;C6,C8,CJ,DJ;CK,CQ,D10,D9;D2,D3,D7,DQ;CA,DA,S6,SA;S2,S4,S7,S8;HK,S10,SJ,SQ;H2,H3,H8,HQ;H10,HJ,S3,S5;H7,H9,S9,SK;H4,H5,H6,HA"
1571928928,2,22,2,"C2,C3,C8,CJ;C10,C7,CA,CK;D2,D3,D7,D8;C5,C6,C9,DQ;C4,CQ,DJ,DK;D4,D5,DA,SK;S2,S3,S5,S7;D6,D9,S10,S9;D10,S4,S8,SA;H2,H3,H4,H9;H8,S6,SJ,SQ;H6,HJ,HK,HQ;H10,H5,H7,HA"
1571928928,2,0,2,"C2,C4,C6,C7;CA,CJ,CK,CQ;D2,D3,D6,D7;D10,D5,D8,D9;S2,S3,S4,S5;C10,C3,DJ,S10;C5,C8,D4,S6;C9,DA,SK,SQ;DQ,HK,S8,SA;DK,H10,H8,HQ;H2,H3,H5,H7;H6,HA,S7,S9;H4,H9,HJ,SJ"
1571928928,2,14,2,"C2,C3,C4,D9;C5,C6,CK,D8;C7,C8,CQ,D4;CA,CJ,DA,SA;D2,D3,D6,SK;D10,D7,DJ,S9;DK,DQ,S10,S7;S2,S3,S5,S8;H2,H3,H4,HJ;C9,H9,HA,HK;C10,H7,H8,HQ;D5,H10,H5,S6;H6,S4,SJ,SQ"
